sentence,mood
Bugün harika hissediyorum,mutlu
Çok keyifli ve enerjik uyandım,mutlu
Hayat bugün bana gülümsüyor,mutlu
Arkadaşlarımla çok eğlenceli vakit geçirdim,mutlu
Yeni bir telefon aldım çok mutluyum,mutlu
Güneşli hava modumu yükseltti,mutlu
Çok güzel bir haber aldım,mutlu
Başardım sonunda hedefime ulaştım,mutlu
Harika bir yemek yedim,mutlu
Bugün kendimi çok iyi hissediyorum,mutlu
Canım sıkkın bugün hiçbir şey yapmak istemiyorum,üzgün
Arkadaşlarımla kavga ettim moralim bozuk,üzgün
Sınavım kötü geçti üzgünüm,üzgün
Bugün gerçekten kötü hissediyorum,üzgün
Hayatımda hiçbir şey yolunda gitmiyor,üzgün
Çok yalnız ve kötü hissediyorum,üzgün
Her şey beni yoruyor mutsuzum,üzgün
İşlerim ters gidiyor çok üzülüyorum,üzgün
Sevdiğim insanla tartıştık çok moralim bozuk,üzgün
Bugün çok üzgün ve yorgunum,üzgün
Bugün sakin bir gün geçiriyorum,nötr
Gün normal başladı ve öyle devam ediyor,nötr
Bugün hiçbir şey hissetmiyorum,nötr
Günün nasıl geçtiğini anlamadım bile,nötr
Ruh halim çok sıradan bugün,nötr
İşleri her zamanki gibi hallediyorum,nötr
Hava bugün oldukça sıradan,nötr
Bugün olağan bir gündü,nötr
Özel bir şey olmadı bugün,nötr
Her şey her zamanki gibi,nötr
Yeni proje onaylandı çok mutluyum,mutlu
Çok güzel bir filme gittim keyfim yerinde,mutlu
Bugün çok güldüm modum harika,mutlu
Başarıyla işi bitirdim çok mutluyum,mutlu
Bugün pozitif enerjim çok yüksek,mutlu
Moralim yüksek her şey iyi gidiyor,mutlu
Bugün hayat çok güzel görünüyor,mutlu
Harika haberler aldım çok sevinçliyim,mutlu
Kendimi çok güçlü hissediyorum bugün,mutlu
Çok iyi dinlendim bugün mutluyum,mutlu
Bugün çok fazla moralim bozuk,üzgün
Her şey kötüye gidiyor canım sıkkın,üzgün
Kötü bir haber aldım çok üzgünüm,üzgün
Kimse beni anlamıyor bugün,üzgün
İş yerinde problemler çıktı moralim çok bozuk,üzgün
Canım hiçbir şey istemiyor moralim sıfır,üzgün
Bugün hayat çok anlamsız geliyor,üzgün
Bugün biraz yorgunum ama normal hissediyorum,nötr
Ruh halim ne iyi ne kötü,nötr
Bugün gayet ortalama geçiyor,nötr
